matchday,formation,score,attacker,midfielder,defender,goalkeeper
1.0,5-3-2,3832.0,"Yussuf Poulsen, Matheus Cunha","Wataru Endo, Joshua Kimmich, Renato Steffen","Edmond Tapsoba, Dayot Upamecano, Robin Knoche, Makoto Hasebe, Martin Hinteregger",Timo Horn
2.0,5-3-2,3837.0,"Lucas Höler, Fabian Klos","Josuha Guilavogui, Baptiste Santamaría, Emre Can","Mats Hummels, Matthias Ginter, Mike van der Hoorn, Rafael Czichos, Nico Elvedi",Stefan Ortega Moreno
3.0,5-4-1,4514.0,Robert Lewandowski,"Daniel Olmo, Axel Witsel, Vladimir Darida, Emre Can","Nico Schlotterbeck, Mats Hummels, John Brooks, Ramy Bensebaini, Amos Pieper",Stefan Ortega Moreno
4.0,5-4-1,3941.0,Sebastian Andersson,"Josuha Guilavogui, Thomas Delaney, Corentin Tolisso, Josip Brekalo","Salif Sané, Lars Bender, Amos Pieper, Kevin Vogt, Maximilian Mittelstädt",Kevin Trapp
5.0,5-4-1,3843.0,Lucas Höler,"Joshua Kimmich, Raphaël Guerreiro, Mahmoud Dahoud, Wataru Endo","Matthias Ginter, Robin Knoche, Maxence Lacroix, John Brooks, Willi Orban",Manuel Neuer
6.0,5-3-2,4158.0,"Leon Bailey, Andre Silva","Jude Bellingham, Baptiste Santamaría, Yannick Gerhardt","Mats Hummels, Pascal Stenzel, Salif Sané, Dedryck Boyata, Malick Thiaw",Stefan Ortega Moreno
7.0,5-3-2,4158.0,"Breel Embolo, Wout Weghorst","Dominik Kohr, Christoph Baumgartner, Leon Goretzka","Salif Sané, Amos Pieper, Martin Hinteregger, Robin Knoche, Marco Friedl",Manuel Neuer
8.0,5-4-1,3869.0,Andrej Kramaric,"Wataru Endo, Baptiste Santamaría, Marcel Sabitzer, Jonathan Schmid","Rafael Czichos, Mats Hummels, Maxence Lacroix, Matthias Ginter, Nico Elvedi",Lukas Hradecky
9.0,5-4-1,4276.0,Silas Wamangituka,"Kerem Demirbay, Diadie Samassekou, Axel Witsel, Josip Brekalo","Mats Hummels, Lars Bender, John Brooks, Felix Uduokhai, Jeremiah St. Juste",Stefan Ortega Moreno
10.0,5-4-1,3702.0,Leon Bailey,"Julian Baumgartlinger, Ryan Sessegnon, Nadiem Amiri, Florian Neuhaus","Alexander Hack, Maxence Lacroix, Keven Schlotterbeck, Aleksandar Dragovic, Mike van der Hoorn",Péter Gulácsi
11.0,5-4-1,3486.0,Robert Lewandowski,"Marcel Sabitzer, Daniel Olmo, Edimilson Fernandes, Xaver Schlager","Keven Schlotterbeck, Marvin Friedrich, Mike van der Hoorn, Matthias Ginter, Joakim Nilsson",Stefan Ortega Moreno
12.0,5-4-1,3559.0,Nicolas Gonzalez,"Raphaël Guerreiro, Suat Serdar, Maximilian Arnold, Fabian Kunze","Manuel Akanji, Keven Schlotterbeck, Mats Hummels, Dayot Upamecano, Waldemar Anton",Yann Sommer
13.0,5-4-1,4103.0,Marcus Thuram,"Renato Steffen, Axel Witsel, Florian Grillitsch, Ridle Baku","Salif Sané, Manuel Akanji, Mats Hummels, Maximilian Mittelstädt, Alexander Hack",Yann Sommer
14.0,5-4-1,4171.0,Marco Richter,"Lucas Tousart, Marius Wolf, Marcel Sabitzer, Reece Oxford","Willi Orban, Alexander Hack, Edmond Tapsoba, Kevin Vogt, Nico Elvedi",Stefan Ortega Moreno
15.0,5-4-1,3818.0,Andrej Kramaric,"Ritsu Doan, Emre Can, Daniel Olmo, Filip Kostic","Omar Alderete, Niklas Süle, David Alaba, Benjamin Pavard, Alexander Hack",Stefan Ortega Moreno
16.0,5-4-1,4342.0,Andrej Kramaric,"Marco Reus, Wataru Endo, Emre Can, Julian Brandt","Mats Hummels, Edmond Tapsoba, Jonathan Tah, Waldemar Anton, Nico Elvedi",Stefan Ortega Moreno
17.0,5-4-1,4185.0,Moussa Diaby,"Suat Serdar, Amine Harit, Maximilian Arnold, Wataru Endo","Martin Hinteregger, Dayot Upamecano, Milos Veljkovic, Nico Elvedi, Marcel Halstenberg",Rafał Gikiewicz
18.0,5-4-1,4026.0,Nicolas Gonzalez,"Reece Oxford, Wataru Endo, Emre Can, Leon Goretzka","Paulo Otavio, Dayot Upamecano, Mats Hummels, Niklas Süle, Jonathan Tah",Stefan Ortega Moreno
19.0,5-3-2,3749.0,"Marcus Thuram, Nicolas Gonzalez","Thomas Delaney, Joshua Kimmich, Wataru Endo","Konstantinos Mavropanos, Marc-Oliver Kempf, Marco Friedl, Jonathan Tah, Mats Hummels",Stefan Ortega Moreno
20.0,5-4-1,3669.0,Patrik Schick,"Christopher Nkunku, Kerem Demirbay, Elvis Rexhbecaj, Ondrej Duda","Stefan Bell, Nordi Mukiele, Mats Hummels, David Alaba, Maxence Lacroix",Lukas Hradecky
21.0,5-3-2,4083.0,"Matheus Cunha, Marcus Ingvartsen","Dominik Kohr, Xaver Schlager, Maximilian Arnold","Konstantinos Mavropanos, Nico Elvedi, Shkodran Mustafi, Edmond Tapsoba, Mats Hummels",Stefan Ortega Moreno
22.0,5-4-1,3424.0,Amin Younes,"Nicolas Höfler, Mahmoud Dahoud, Emre Can, Fabian Kunze","Nico Elvedi, Ömer Toprak, Ramy Bensebaini, Matthias Ginter, Philipp Lienhart",Kevin Trapp
23.0,5-4-1,3900.0,Ihlas Bebou,"Florian Grillitsch, Tyler Adams, Jude Bellingham, Joshua Kimmich","Jeffrey Gouweleeuw, Jonathan Tah, Milos Veljkovic, Edmond Tapsoba, Mats Hummels",Stefan Ortega Moreno
24.0,5-4-1,4091.0,Jonathan Burkardt,"Maximilian Arnold, Djibril Sow, Florian Grillitsch, Joshua Kimmich","Shkodran Mustafi, Robin Knoche, Maxence Lacroix, Marvin Friedrich, Ramy Bensebaini",Stefan Ortega Moreno
25.0,5-4-1,3820.0,Andrej Kramaric,"Florian Neuhaus, Florian Grillitsch, Ellyes Skhiri, Lucas Tousart","Edmond Tapsoba, Nico Elvedi, Kasim Adams, Matthias Ginter, Noah Katterbach",Koen Casteels
26.0,5-4-1,3903.0,Matheus Cunha,"Maximilian Arnold, Florian Grillitsch, Christopher Nkunku, Leon Goretzka","Willi Orban, Jeremiah St. Juste, Maximilian Mittelstädt, Nico Elvedi, Nico Schlotterbeck",Jiri Pavlenka
27.0,5-4-1,3610.0,Wout Weghorst,"Stefan Ilsanker, Marcel Sabitzer, Emre Can, Leandro Barreiro","John Brooks, Nico Schlotterbeck, Rafael Czichos, Keven Schlotterbeck, Mike van der Hoorn",Lukas Hradecky
28.0,5-4-1,3636.0,Marco Richter,"Charles Aranguiz, Ellyes Skhiri, Javier Martínez, Joshua Kimmich","Sven Bender, Jerome Boateng, Ibrahima Konate, Chris Richards, Keven Schlotterbeck",Andreas Luthe
29.0,5-4-1,3708.0,Erling Haaland,"Christopher Nkunku, Marcel Sabitzer, Jude Bellingham, Stefan Ilsanker","Felix Uduokhai, Mats Hummels, Kevin Mbabu, Amos Pieper, Nico Schlotterbeck",Oliver Baumann
30.0,5-4-1,3944.0,Karim Onisiwo,"Florian Grillitsch, Jamal Musiala, Maximilian Eggestein, Wataru Endo","Stefan Bell, Milos Veljkovic, David Alaba, Niklas Moisander, Manuel Akanji",Stefan Ortega Moreno
31.0,5-4-1,3957.0,Sebastian Andersson,"Exequiel Palacios, Robert Andrich, Florian Grillitsch, Nicolas Höfler","Waldemar Anton, Alphonso Davies, Jerome Boateng, Rafael Czichos, Matthias Ginter",Kevin Trapp
32.0,5-4-1,3927.0,Marco Richter,"Florian Grillitsch, Joshua Kimmich, Christoph Baumgartner, Jonas Hector","Marc-Oliver Kempf, Willi Orban, Maxence Lacroix, Makoto Hasebe, Shkodran Mustafi",Rafał Gikiewicz
33.0,5-3-2,4193.0,"Andre Silva, Fabian Klos","Florian Grillitsch, Maximilian Arnold, Reece Oxford","Rafael Czichos, Willi Orban, Robin Knoche, Mats Hummels, Waldemar Anton",Rafał Gikiewicz
34.0,5-4-1,4360.0,Robert Lewandowski,"Marius Wolf, Dominik Kohr, Jonas Hector, Ridle Baku","Waldemar Anton, Martin Hinteregger, Shkodran Mustafi, Atakan Karazor, Rafael Czichos",Ralf Fährmann
